afghanistan	kabul
albania	tirana
algeria	algiers
andorra	andorra_la_vella
angola	luanda
antigua_and_barbuda	st._john's
argentina	buenos_aires
armenia	yerevan
australia	canberra
austria	vienna
azerbaijan	baku
bahamas	nassau
bahrain	manama
bangladesh	dhaka
barbados	bridgetown
belarus	minsk
belgium	brussels
belize	belmopan
benin	porto-novo
bhutan	thimphu
bolivia	sucre
bosnia_and_herzegovina	sarajevo
botswana	gaborone
brazil	brasilia
brunei	bandar_seri_begawan
bulgaria	sofia
burkina_faso	ouagadougou
burundi	bujumbura
cambodia	phnom_penh
cameroon	yaounde
canada	ottawa
cape_verde	praia
central_african_republic	bangui
chad	ndjamena
chile	santiago
china	beijing
colombia	bogota
comoros	moroni
congo_democratic_republic	kinshasa
congo_republic	brazzaville
costa_rica	san_jose
cote_d'ivoire	yamoussoukro
croatia	zagreb
cuba	havana
cyprus	nicosia
czech_republic	prague
denmark	copenhagen
djibouti	djibouti
dominica	roseau
dominican_republic	santo_domingo
east_timor	dili
ecuador	quito
egypt	cairo
el_salvador	san_salvador
equatorial_guinea	malabo
eritrea	asmare
estonia	tallinn
ethiopia	addis_ababa
fiji	suva
finland	helsinki
france	paris
gabon	libreville
gambia	banjul
georgia	tbilisi
germany	berlin
ghana	accra
greece	athens
grenada	st._george's
guatemala	guatemala_city
guinea	conakry
guinea-bissau	bissau
guyana	georgetown
haiti	port-au-prince
honduras	tegucigalpa
hungary	budapest
iceland	reykjavik
india	new_delhi
indonesia	jakarta
iran	tehran
iraq	baghdad
ireland	dublin
israel	jerusalem
italy	rome
jamaica	kingston
japan	tokyo
jordan	amman
kazakhstan	astana
kenya	nairobi
kiribati	south_tarawa
kuwait	kuwait_city
kyrgyzstan	bishkek
laos	vientiane
latvia	riga
lebanon	beirut
lesotho	maseru
liberia	monrovia
libya	tripoli
liechtenstein	vaduz
lithuania	vilnius
luxembourg	luxembourg
macedonia	skopje
madagascar	antananarivo
malawi	lilongwe
malaysia	kuala_lumpur
maldives	male
mali	bamako
malta	valletta
marshall_islands	majuro
mauritania	nouakchott
mauritius	port_louis
mexico	mexico_city
moldova	chisinau
monaco	monaco
mongolia	ulaanbaatar
morocco	rabat
mozambique	maputo
namibia	windhoek
nauru	yaren
nepal	kathmandu
netherlands	amsterdam
new_zealand	wellington
nicaragua	managua
niger	niamey
nigeria	abuja
north_korea	pyongyang
norway	oslo
oman	muscat
pakistan	islamabad
palau	melekeok
panama	panama_city
papua_new_guinea	port_moresby
paraguay	asuncion
peru	lima
philippines	manila
poland	warsaw
portugal	lisbon
qatar	doha
romania	bucharest
russia	moscow
rwanda	kigali
sao_tome_and_principe	sao_tome
saint_kitts_and_nevis	basseterre
saint_lucia	castries
saint_vincent_and_the_grenadines	kingstown
samoa	apia
san_marino	san_marino
saudi_arabia	riyadh
senegal	dakar
serbia	belgrade
seychelles	victoria
sierra_leone	freetown
singapore	singapore
slovakia	bratislava
slovenia	ljubljana
solomon_islands	honiara
somalia	mogadishu
south_africa	pretoria
south_korea	seoul
spain	madrid
sri_lanka	colombo
sudan	khartoum
suriname	paramaribo
swaziland	mbabane
sweden	stockholm
switzerland	bern
syria	damascus
tajikistan	dushanbe
tanzania	dodoma
thailand	bangkok
togo	lome
tonga	nuku'alofa
trinidad_and_tobago	port_of_spain
tunisia	tunis
turkey	ankara
turkmenistan	ashgabat
tuvalu	funafuti
uganda	kampala
ukraine	kiev
united_arab_emirates	abu_dhabi
united_kingdom	london
united_states	washington
uruguay	montevideo
uzbekistan	tashkent
vanuatu	port_vila
vatican_city	vatican_city
venezuela	caracas
vietnam	hanoi
yemen	sana?
zambia	lusaka
zimbabwe	harare
